province;red;green;blue;x;x
1494;117;201;201;Fortune Bay;Fortune Bay
1495;118;201;251;Notre Dame Bay;Notre Dame Bay
1496;119;221;251;Labrador Sea;Labrador Sea
1497;120;251;251;Greenland Sea;Greenland Sea
1498;121;201;201;Northern Atlantic;Northern Atlantic
1499;122;201;251;Masschusetts Bay;Masschusetts Bay
1500;123;221;251;Chesapaeake Bay;Chesapaeake Bay
1501;124;251;251;Cape Hatteras;Cape Hatteras
1502;125;201;201;Coast of Carolina;Coast of Carolina
1503;126;201;251;Coast of Florida;Coast of Florida
1504;127;221;251;Sea of Sargassos;Sea of Sargassos
1505;0;252;252;Florida Straits;Florida Straits
1506;1;202;202;Apalachee Bay;Apalachee Bay
1507;2;202;252;Mobile Bay;Mobile Bay
1508;3;222;252;Galveston Bay;Galveston Bay
1509;4;252;252;Tampico Bay;Tampico Bay
1510;5;202;202;Yucatan Sea;Yucatan Sea
1511;6;202;252;Gulf of Mexico;Gulf of Mexico
1512;7;222;252;Yucatan Channel;Yucatan Channel
1513;8;252;252;Belize Bay;Belize Bay
1514;9;202;202;Moscitos Coast;Moscitos Coast
1515;10;202;252;Gulf of Darien;Gulf of Darien
1516;11;222;252;Jamica Channel;Jamica Channel
1517;12;252;252;Central Carribean;Central Carribean
1518;13;202;202;Northwestern Carribean;Northwestern Carribean
1519;14;202;252;Venezualan Gulf;Venezualan Gulf
1520;15;222;252;Venezuelan Sea;Venezuelan Sea
1521;16;252;252;Eastern Carribean;Eastern Carribean
1522;17;202;202;Windward Islands;Windward Islands
1523;18;202;252;Lesser Antilles;Lesser Antilles
1524;19;222;252;Turks & Caicos Sea;Turks & Caicos Sea
1525;20;252;252;Coast of Cuba;Coast of Cuba
1526;21;202;202;Coast of Hispaniola;Coast of Hispaniola
1527;22;202;252;Guyana Coast;Guyana Coast
1528;23;222;252;Bay of Belem;Bay of Belem
1529;24;252;252;Amazonas Gulf;Amazonas Gulf
1530;25;202;202;Coast of Brazil;Coast of Brazil
1531;26;202;252;Coast of Recife;Coast of Recife
1532;27;222;252;Coast of Pernambuc;Coast of Pernambuc
1533;28;252;252;Todos Santos Bay;Todos Santos Bay
1534;29;202;202;Rio De Janeiro;Rio De Janeiro
1535;30;202;252;Baia Parangua;Baia Parangua
1536;31;222;252;Rio De La Plata;Rio De La Plata
1537;32;252;252;Bahia Blanca;Bahia Blanca
1538;33;202;202;Coast of Patagonia;Coast of Patagonia
1539;34;202;252;Magellan Strait;Magellan Strait
1540;35;222;252;South Chilean Coast;South Chilean Coast
1541;36;252;252;Coast of Chile;Coast of Chile
1542;37;202;202;Atacama Coast;Atacama Coast
1543;38;202;252;Arica Gulf;Arica Gulf
1544;39;222;252;Arequipa Bay;Arequipa Bay
1545;40;252;252;Coast of Peru;Coast of Peru
1546;41;202;202;Guayaguil Bay;Guayaguil Bay
1547;42;202;252;Coast of Ecuador;Coast of Ecuador
1548;43;222;252;Gulf of Panama;Gulf of Panama
1549;44;252;252;Bay of Costa Rica;Bay of Costa Rica
1550;45;202;202;Acapulco Bay;Acapulco Bay
1551;46;202;252;Manzazilla Bay;Manzazilla Bay
1552;47;222;252;Mazatlan Bay;Mazatlan Bay
1553;48;252;252;Gulf of California;Gulf of California
1554;49;202;202;Coast of Baja;Coast of Baja
1555;50;202;252;Coast of California;Coast of California
1556;51;222;252;Santa Catalina Islands;Santa Catalina Islands
1557;52;252;252;Coast of Oregon;Coast of Oregon
1558;53;202;202;Coast of Columbia;Coast of Columbia
1559;54;202;252;Hecate Strait;Hecate Strait
1560;55;222;252;Gulf of Alaska;Gulf of Alaska
1561;56;252;252;Coast of Alaska;Coast of Alaska
1562;57;202;202;Kuskowim Bay;Kuskowim Bay
1563;58;202;252;Hatton Bank;Hatton Bank
1564;59;222;252;Eastern Gibbs Fracture;Eastern Gibbs Fracture
1565;60;252;252;Western Gibbs Fracture;Western Gibbs Fracture
1566;61;202;202;Iberian Shelf;Iberian Shelf
1567;62;202;252;Sea of Azores;Sea of Azores
1568;63;222;252;Corner Seamounts;Corner Seamounts
1569;64;252;252;New England Seamounts;New England Seamounts
1570;65;202;202;Sable Island Bank;Sable Island Bank
1571;66;202;252;Blake Plataeu;Blake Plataeu
1572;67;222;252;West Bermuda Sea;West Bermuda Sea
1573;68;252;252;East Bermuda Sea;East Bermuda Sea
1574;69;202;202;Some Funny Seaname;Some Funny Seaname
1575;70;202;252;Northern Guiana Basin;Northern Guiana Basin
1576;71;222;252;Guiana Basin;Guiana Basin
1577;72;252;252;Southern Guiana Basin;Southern Guiana Basin
1578;73;202;202;Canary Approach;Canary Approach
1579;74;202;252;Cap Verde Approach;Cap Verde Approach
1580;75;222;252;Central Atlantic #1;Central Atlantic #1
1581;76;252;252;Central Atlantic #2;Central Atlantic #2
1582;77;202;202;Central Atlantic #3;Central Atlantic #3
1583;78;202;252;Central Atlantic #4;Central Atlantic #4
1584;79;222;252;Romanche Gap;Romanche Gap
1585;80;252;252;East Guinea Basin;East Guinea Basin
1586;81;202;202;West Guinea Basin;West Guinea Basin
1587;82;202;252;Coast of Falklands;Coast of Falklands
1588;83;222;252;New Georgia Islands;New Georgia Islands
1589;84;252;252;Western Atlantic #1;Western Atlantic #1
1590;85;202;202;Western Atlantic #2;Western Atlantic #2
1591;86;202;252;Western Atlantic #3;Western Atlantic #3
1592;87;222;252;Western Atlantic #4;Western Atlantic #4
1593;88;252;252;Western Atlantic #5;Western Atlantic #5
1594;89;202;202;Western Atlantic #6;Western Atlantic #6
1595;90;202;252;East of Magellans;East of Magellans
1596;91;222;252;Central Atlantic #5;Central Atlantic #5
1597;92;252;252;Central Atlantic #6;Central Atlantic #6
1598;93;202;202;Central Atlantic #7;Central Atlantic #7
1599;94;202;252;Central Atlantic #8;Central Atlantic #8
1600;95;222;252;Eastern Atlantic #1;Eastern Atlantic #1
1601;96;252;252;Eastern Atlantic #2;Eastern Atlantic #2
1602;97;202;202;Eastern Atlantic #3;Eastern Atlantic #3
1603;98;202;252;Eastern Atlantic #4;Eastern Atlantic #4
1604;99;222;252;Eastern Atlantic #5;Eastern Atlantic #5
1605;100;252;252;Eastern Atlantic #6;Eastern Atlantic #6
1606;101;202;202;Southern Atlantic #1;Southern Atlantic #1
1607;102;202;252;Southern Atlantic #2;Southern Atlantic #2
1608;103;222;252;Southern Atlantic #3;Southern Atlantic #3
1609;104;252;252;Southern Atlantic #4;Southern Atlantic #4
1610;105;202;202;Cape of Storms;Cape of Storms
1611;106;202;252;Gulf of Bengal;Gulf of Bengal
1612;107;222;252;Northen Bay of Bengal;Northen Bay of Bengal
1613;108;252;252;Southern Bay of Bengal;Southern Bay of Bengal
1614;109;202;202;Ceylon Sea;Ceylon Sea
1615;110;202;252;Coast of Maldives;Coast of Maldives
1616;111;222;252;Indian Ocean #1;Indian Ocean #1
1617;112;252;252;Indian Ocean #2;Indian Ocean #2
1618;113;202;202;Indian Ocean #3;Indian Ocean #3
1619;114;202;252;Indian Ocean #4;Indian Ocean #4
1620;115;222;252;Indian Ocean #5;Indian Ocean #5
1621;116;252;252;Indian Ocean #6;Indian Ocean #6
1622;117;202;202;Indian Ocean #7;Indian Ocean #7
1623;118;202;252;Indian Ocean #8;Indian Ocean #8
1624;119;222;252;Indian Ocean #9;Indian Ocean #9
1625;120;252;252;Indian Ocean #10;Indian Ocean #10
1626;121;202;202;Indian Ocean #11;Indian Ocean #11
1627;122;202;252;Indian Ocean #12;Indian Ocean #12
1628;123;222;252;Indian Ocean #13;Indian Ocean #13
1629;124;252;252;Indian Ocean #14;Indian Ocean #14
1630;125;202;202;Indian Ocean #15;Indian Ocean #15
1631;126;202;252;Indian Ocean #16;Indian Ocean #16
1632;127;222;252;Indian Ocean #17;Indian Ocean #17
1633;0;253;253;Indian Ocean #18;Indian Ocean #18
1634;1;203;203;Indian Ocean #19;Indian Ocean #19
1635;2;203;253;Indian Ocean #20;Indian Ocean #20
1636;3;223;253;Indian Ocean #21;Indian Ocean #21
1637;4;253;253;Indian Ocean #22;Indian Ocean #22
1638;5;203;203;Indian Ocean #23;Indian Ocean #23
1639;6;203;253;Indian Ocean #24;Indian Ocean #24
1640;7;223;253;Indian Ocean #25;Indian Ocean #25
1641;8;253;253;Indian Ocean #26;Indian Ocean #26
1642;9;203;203;Indian Ocean #27;Indian Ocean #27
1643;10;203;253;Indian Ocean #28;Indian Ocean #28
1644;11;223;253;Indian Ocean #29;Indian Ocean #29
1645;12;253;253;Indian Ocean #30;Indian Ocean #30
1646;13;203;203;Indian Ocean #31;Indian Ocean #31
1647;14;203;253;Indian Ocean #32;Indian Ocean #32
1648;15;223;253;Lake Chad;Lake Chad
1649;16;253;253;Lake Victoria;Lake Victoria
1650;17;203;203;Lake Tangayika;Lake Tangayika
1651;18;203;253;Lake Malawi;Lake Malawi
1652;19;223;253;White Sea;White Sea
1653;20;253;253;Lake Balchasj;Lake Balchasj
1654;21;203;203;Lake Bajkal;Lake Bajkal
1655;22;203;253;Poyang Lake;Poyang Lake
1656;23;223;253;Lake Titicaca;Lake Titicaca
1657;24;253;253;Lake Nicaragua;Lake Nicaragua
1658;25;203;203;Everglades;Everglades
1659;26;203;253;Lake Ontario;Lake Ontario
1660;27;223;253;Lake Erie;Lake Erie
1661;28;253;253;Lake Huron;Lake Huron
1662;29;203;203;Lake Michigan;Lake Michigan
1663;30;203;253;Lake Superior;Lake Superior
1664;31;223;253;Lake Nipigon;Lake Nipigon
1665;32;253;253;Lake Winnipeg;Lake Winnipeg
1666;33;203;203;Western Pacific #1;Western Pacific #1
1667;34;203;253;Western Pacific #2;Western Pacific #2
1668;35;223;253;Western Pacific #3;Western Pacific #3
1669;36;253;253;Western Pacific #4;Western Pacific #4
1670;37;203;203;Western Pacific #5;Western Pacific #5
1671;38;203;253;Western Pacific #6;Western Pacific #6
1672;39;223;253;Western Pacific #7;Western Pacific #7
1673;40;253;253;Western Pacific #8;Western Pacific #8
1674;41;203;203;Western Pacific #9;Western Pacific #9
1675;42;203;253;Western Pacific #10;Western Pacific #10
1676;43;223;253;Western Pacific #11;Western Pacific #11
1677;44;253;253;Northern Pacific #1;Northern Pacific #1
1678;45;203;203;Northern Pacific #2;Northern Pacific #2
1679;46;203;253;Northern Pacific #3;Northern Pacific #3
1680;47;223;253;Northern Pacific #4;Northern Pacific #4
1681;48;253;253;Northern Pacific #5;Northern Pacific #5
1682;49;203;203;Northern Pacific #6;Northern Pacific #6
1683;50;203;253;Northern Pacific #7;Northern Pacific #7
1684;51;223;253;Northern Pacific #8;Northern Pacific #8
1685;52;253;253;Northern Pacific #9;Northern Pacific #9
1686;53;203;203;Northern Pacific #10;Northern Pacific #10
1687;54;203;253;Central Pacific #1;Central Pacific #1
1688;55;223;253;Central Pacific #2;Central Pacific #2
1689;56;253;253;Central Pacific #3;Central Pacific #3
1690;57;203;203;Central Pacific #4;Central Pacific #4
1691;58;203;253;Central Pacific #5;Central Pacific #5
1692;59;223;253;Central Pacific #6;Central Pacific #6
1693;60;253;253;Central Pacific #7;Central Pacific #7
1694;61;203;203;Central Pacific #8;Central Pacific #8
1695;62;203;253;Central Pacific #9;Central Pacific #9
1696;63;223;253;Central Pacific #10;Central Pacific #10
1697;64;253;253;Coast of Hawaii;Coast of Hawaii
1698;65;203;203;Central Pacific #11;Central Pacific #11
1699;66;203;253;Central Pacific #12;Central Pacific #12
1700;67;223;253;Eastern Pacific #1;Eastern Pacific #1
1701;68;253;253;Eastern Pacific #2;Eastern Pacific #2
1702;69;203;203;Eastern Pacific #3;Eastern Pacific #3
1703;70;203;253;Eastern Pacific #4;Eastern Pacific #4
1704;71;223;253;Eastern Pacific #5;Eastern Pacific #5
1705;72;253;253;Eastern Pacific #6;Eastern Pacific #6
1706;73;203;203;Eastern Pacific #7;Eastern Pacific #7
1707;74;203;253;Eastern Pacific #8;Eastern Pacific #8
1708;75;223;253;Eastern Pacific #9;Eastern Pacific #9
1709;76;253;253;Eastern Pacific #10;Eastern Pacific #10
1710;77;203;203;Eastern Pacific #11;Eastern Pacific #11
1711;78;203;253;Eastern Pacific #12;Eastern Pacific #12
1712;79;223;253;Eastern Pacific #13;Eastern Pacific #13
1713;80;253;253;Eastern Pacific #14;Eastern Pacific #14
1714;81;203;203;Eastern Pacific #15;Eastern Pacific #15
1715;82;203;253;Eastern Pacific #16;Eastern Pacific #16
1716;83;223;253;Eastern Pacific #17;Eastern Pacific #17
1717;85;203;203;Southern Pacifc #1;Southern Pacifc #1
1718;86;203;253;Southern Pacifc #2;Southern Pacifc #2
1719;87;223;253;Southern Pacifc #3;Southern Pacifc #3
1720;88;253;253;Southern Pacifc #4;Southern Pacifc #4
1721;89;203;203;Southern Pacifc #5;Southern Pacifc #5
1722;90;203;253;Southern Pacifc #6;Southern Pacifc #6
1723;91;223;253;Southern Pacifc #7;Southern Pacifc #7
1724;92;253;253;Southern Pacifc #8;Southern Pacifc #8
1725;93;203;203;Southern Pacifc #9;Southern Pacifc #9
1726;94;203;253;Southern Pacifc #10;Southern Pacifc #10
1727;95;223;253;Southern Pacifc #11;Southern Pacifc #11
1728;96;253;253;Southern Pacifc #12;Southern Pacifc #12
1729;97;203;203;Southern Pacifc #13;Southern Pacifc #13
1730;98;203;253;Southern Pacifc #14;Southern Pacifc #14
1731;99;223;253;Southern Pacifc #15;Southern Pacifc #15
1732;100;253;253;Southern Pacifc #16;Southern Pacifc #16
1733;101;203;203;Southern Pacifc #17;Southern Pacifc #17
1734;102;203;253;Southern Pacifc #18;Southern Pacifc #18
1735;103;223;253;Southern Pacifc #19;Southern Pacifc #19
1736;104;203;203;Southern Pacifc #20;Southern Pacifc #20
1737;106;203;253;Southern Pacifc #22;Southern Pacifc #22
1738;107;223;253;Southern Pacifc #23;Southern Pacifc #23
1739;108;253;253;Southern Pacifc #24;Southern Pacifc #24
1740;109;203;203;Southern Pacifc #25;Southern Pacifc #25
1741;110;203;253;Southern Pacifc #26;Southern Pacifc #26
1742;66;68;126;Limburg;Limburg
1743;194;70;173;Cambray;Cambray
1744;66;72;32;Antwerpen;Antwerpen
1745;195;74;79;Cantabria;Cantabria
1746;67;76;126;Burgos;Burgos
1747;195;78;173;Caceres;Caceres
1748;67;80;32;La Mancha;La Mancha
1749;195;82;79;Cadiz;Cadiz
1750;67;84;126;Alicante;Alicante
1751;195;86;173;Ceuta;Ceuta
1752;68;88;32;Rzhev;Rzhev
1753;196;90;79;Kostroma;Kostroma
1754;68;92;126;Orel;Orel
1755;196;94;173;Ustyug;Ustyug
1756;68;96;32;Budjak;Budjak
1757;196;98;79;Oberpfalz;Oberpfalz
1758;68;100;126;Hannover;Hannover
1759;197;102;173;Potsdam;Potsdam
1760;69;104;32;Koblenz;Koblenz
1761;197;106;79;Alzey;Alzey
1762;69;108;126;Kassel;Kassel
1763;197;110;173;Niederlausitz;Niederlausitz
1764;69;112;32;Burgas;Burgas
1765;197;114;79;Nis;Nis
1766;70;116;126;Kosovo;Kosovo
1767;198;118;173;Osijek;Osijek
1768;70;120;32;Lienz;Lienz
1769;198;122;79;G?rz;G?rz
1770;70;124;126;Ostmarch;Ostmarch
1771;198;126;173;Erz;Erz
1772;70;128;32;Presburg;Presburg
1773;199;130;79;Achaea;Achaea
1774;71;132;126;Treviso;Treviso
1775;199;134;173;Holstein;Holstein
1776;71;136;32;Karelia;Karelia
1777;199;138;79;Kola;Kola
1778;71;140;126;Kasimov;Kasimov
1779;199;142;173;Rub' al Khali;Rub' al Khali
1780;72;144;32;Komi;Komi
1781;200;146;79;Western Siberia;Western Siberia
1782;72;148;126;Eastern Siberia;Eastern Siberia
1783;200;150;173;Koryak;Koryak
1784;72;152;32;Tiam Shan;Tiam Shan
1785;200;154;79;Karakoram;Karakoram
1786;72;156;126;Takla Makan;Takla Makan
1787;201;158;173;Himalaya;Himalaya
1788;73;32;32;Arunachal;Arunachal
1789;201;34;79;Maoke;Maoke
1790;73;36;126;Western Australia;Western Australia
1791;201;38;173;Central Australia;Central Australia
1792;201;42;79;Merina;Merina
1793;74;44;126;El Djouf;El Djouf
1794;202;46;173;Central Sahara;Central Sahara
1795;74;48;32;East Sahara;East Sahara
1796;202;50;79;Central Africa;Central Africa
1797;74;52;126;Inner Kongo;Inner Kongo
1798;202;54;173;Imatong;Imatong
1799;74;56;32;Urgoma;Urgoma
1800;203;58;79;Limpopo;Limpopo
1801;75;60;126;Kalahari;Kalahari
1802;203;62;173;Northern Amazonas;Northern Amazonas
1803;75;64;32;Southern Amazonas;Southern Amazonas
1804;203;66;79;Greenland;Greenland
1805;75;68;126;Qu??bec;Qu??bec
1806;203;70;173;Weagamow;Weagamow
1807;76;72;32;Baffin Island;Baffin Island
1808;204;74;79;Great Basin;Great Basin
1809;76;76;126;Great Plains;Great Plains
1810;204;78;173;Alaska;Alaska
1811;76;80;32;Nunavut;Nunavut
1812;204;82;79;Northwest Territories;Northwest Territories
1813;76;84;126;Saskatchewan;Saskatchewan
1814;205;86;173;Columbia;Columbia
1815;77;88;32;Ayeyarwady;Ayeyarwady
1816;205;90;79;Hejian;Hejian
1817;77;92;126;Nan;Nan
1818;205;94;173;Chikuzen;Chikuzen
1819;77;96;32;Tosa;Tosa
1820;205;98;79;Awa;Awa
1821;78;100;126;Nanjing;Nanjing
1822;206;102;173;Shangai;Shangai
1823;78;104;32;Stung Treng;Stung Treng
1824;206;106;79;Wenzhou;Wenzhou
1825;78;108;126;Aki;Aki
1826;206;110;173;Lika;Lika
1827;78;112;32;Raska;Raska
1828;207;114;79;Soli;Soli
1829;79;116;126;Xiamen;Xiamen
1830;207;118;173;Tajima;Tajima
1831;79;120;32;Travunia;Travunia
1832;207;122;79;Yamato;Yamato
1833;79;124;126;Ji'an;Ji'an
1834;207;126;173;Dorpat;Dorpat
1835;80;128;32;Mino;Mino
1836;208;130;79;Nanyang;Nanyang
1837;80;132;126;Etchu;Etchu
1838;208;134;173;Hefei;Hefei
1839;80;136;32;Totomi;Totomi
1840;208;138;79;Guilin;Guilin
1841;80;140;126;Marienburg;Marienburg
1842;209;142;173;Narva;Narva
1843;81;144;32;Kozuke;Kozuke
1844;209;146;79;Xiankhouang;Xiankhouang
1845;81;148;126;Pyeongyang;Pyeongyang
1846;209;150;173;Amasya;Amasya
1847;81;152;32;Shiribeshi;Shiribeshi
1848;209;154;79;Hamid;Hamid
1849;82;156;126;Hama;Hama
1850;210;158;173;Mudanjiang;Mudanjiang
1851;82;32;32;Ribatejo;Ribatejo
1852;210;34;79;Tokachi;Tokachi
1853;82;36;126;Kozani;Kozani
1854;210;38;173;Jaffa;Jaffa
1855;82;40;32;Sidon;Sidon
1856;211;42;79;Abkhazia;Abkhazia
1857;83;44;126;Lauenburg;Lauenburg
1858;211;46;173;Stettin;Stettin
1859;83;48;32;Torun;Torun
1860;211;50;79;Norfolk;Norfolk
1861;83;52;126;Derby;Derby
1862;211;54;173;Cremona;Cremona
1863;84;56;32;Graz;Graz
1864;212;58;79;Somogy;Somogy
1865;84;60;126;Ghent;Ghent
1866;212;62;173;Namur ;Namur 
1867;84;64;32;Freiburg;Freiburg
1868;212;66;79;Augsburg;Augsburg
1869;84;68;126;Z??rich;Z??rich
1870;213;70;173;S:t Gallen;S:t Gallen
1871;85;72;32;Wallis;Wallis
1872;86;84;126;Ulm;Ulm
1873;85;76;126;Chur;Chur
1874;213;78;173;Bremen;Bremen
1875;142;110;192;Turin;Turin
1876;213;82;79;Frankfurt;Frankfurt
1877;86;92;126;Charolais;Charolais
1878;214;86;173;Aachen;Aachen
1879;86;88;32;Alencon;Alencon
1880;214;90;79;Sundgau;Sundgau
1881;213;74;79;St. Barth??lemy;St. Barth??lemy
1882;214;94;173;B?ne;B?ne
1883;0;0;232;Western Finish lakes;Western Finish lakes
1884;1;0;236;East Finish lakes;East Finish lakes
1885;2;0;240;Central finish lakes;Central finish lakes
1886;3;0;244;Storavan;Storavan
1887;4;0;248;Storsjon;Storsjon
1888;5;0;232;Kara Sea;Kara Sea
1889;6;0;236;Lake geneva;Lake geneva
1890;7;0;240;Bodensee;Bodensee
1891;8;0;244;Tuz Gola;Tuz Gola
1892;9;0;248;Lake Van;Lake Van
1893;10;0;232;Lake Daryacheh;Lake Daryacheh
1894;11;0;236;Sevan Lake;Sevan Lake
1895;12;0;240;Lake Taihu;Lake Taihu
1896;13;0;244;Lake Hongze;Lake Hongze
1897;14;0;248;Dongting;Dongting
1898;15;0;232;Tonie Sap Lake;Tonie Sap Lake
1899;16;0;236;Tana lake;Tana lake
1900;17;0;240;Lake Turkana;Lake Turkana
1901;81;104;191;Mpangu;Mpangu
1902;19;0;248;Lake Poopo;Lake Poopo
1903;20;0;232;Lake Champlain;Lake Champlain
1904;21;0;236;Lac Saint Jean;Lac Saint Jean
1905;22;0;240;Lac Manicouagan;Lac Manicouagan
1906;23;0;244;Lac Michikamau;Lac Michikamau
1907;24;0;248;Lac Bienville;Lac Bienville
1908;25;0;232;Lac Al Eau Claire;Lac Al Eau Claire
1909;26;0;236;Lac Minto;Lac Minto
1910;27;0;240;La Grande Riviere;La Grande Riviere
1911;28;0;244;Lake Island;Lake Island
1912;29;0;248;Lake Reindeer;Lake Reindeer
1913;30;0;232;Wollaston Lake;Wollaston Lake
1914;31;0;236;Great Slave Lake;Great Slave Lake
1915;32;0;240;Lake Athabasca;Lake Athabasca
1916;33;0;244;Dubawni Lake;Dubawni Lake
1917;34;0;248;Yathkyed Lake;Yathkyed Lake
1918;35;0;232;Kasba Lake;Kasba Lake
1919;36;0;236;Nueltin Lake;Nueltin Lake
1920;37;0;240;Wholdaia Lake;Wholdaia Lake
1921;38;0;244;Peter Pond Lake;Peter Pond Lake
1922;39;0;248;Great salt lake;Great salt lake
1923;40;0;232;Williston Lake;Williston Lake
1924;62;206;252;Greenland tip;Greenland tip
1925;225;191;200;Tana;Tana
1926;62;230;252;Northern baltic sea;Northern baltic sea
1927;62;218;252;Eastern baltic sea;Eastern baltic sea
1928;62;234;252;Western Alands sea;Western Alands sea
1929;62;210;252;Western Norwegian Sea;Western Norwegian Sea
1930;237;154;79;?land;?land
1931;130;60;50;East Frisia;East Frisia
1932;49;150;248;Gulf of Satalia;Gulf of Satalia
1933;50;0;232;Bari;Bari
1934;251;0;36;Lucania;Lucania
1935;52;0;240;Semigallia;Semigallia
1936;55;0;0;Kovno;Kovno
1937;65;0;250;Grodno;Grodno
1938;75;0;25;Wizna;Wizna
1939;85;0;225;Leczyca;Leczyca
1940;95;0;50;Belz;Belz
1941;105;0;200;Turov;Turov
1942;110;0;75;Zhytomyr;Zhytomyr
1943;115;0;175;Bratslav;Bratslav
1944;120;0;100;Cherkasy;Cherkasy
1945;125;0;150;Novgorod-Seversky;Novgorod-Seversky
1946;63;0;244;Desh;Desh
1947;64;0;248;Gingee;Gingee
1948;65;0;232;Bidar;Bidar
1949;66;0;236;Tirupati;Tirupati
1950;67;0;240;Meghalaya;Meghalaya
1951;68;0;244;Hunyad;Hunyad
1952;69;0;248;Maramaros;Maramaros
1953;70;0;232;Szabolcs;Szabolcs
1954;71;0;236;Torontal;Torontal
1955;172;146;192;Kholmogory;Kholmogory
1956;73;0;244;Suzdal;Suzdal
1957;74;0;248;Galich;Galich
1958;75;0;232;Kargopol;Kargopol
1959;76;0;236;Torzhok;Torzhok
1960;77;0;240;Ostrov;Ostrov
1961;78;0;244;Ladoga;Ladoga
1962;79;0;248;Kudymkar;Kudymkar
1963;80;0;232;Cherdyn;Cherdyn
1964;81;0;236;Ust-Sysolsk;Ust-Sysolsk
1965;88;116;126;Buzuluk;Buzuluk
1966;216;118;173;Chelyaba;Chelyaba
1967;217;126;173;Khujand;Khujand
1968;89;128;32;Kulob;Kulob
1969;216;122;79;Sozak;Sozak
1970;88;120;32;Syghnak;Syghnak
1971;88;112;32;Tsaritsyn;Tsaritsyn
1972;216;114;79;Udmurtia;Udmurtia
1973;88;124;126;Urgench;Urgench
1974;215;110;173;Yedishkul;Yedishkul
1975;105;225;255;Sea of Jutland;Sea of Jutland
1976;93;0;244;Dead Sea;Dead Sea
1977;94;0;248;M?laren;M?laren
1978;95;0;232;Shetlands;Shetlands
1979;96;0;236;F?r?arnax;F?r?arnax
1980;136;253;253;Sea of Japan;Sea of Japan
1981;98;0;244;Bornholm;Bornholm
1982;99;0;248;Blekinge;Blekinge
1983;100;0;232;Lolland;Lolland
1984;101;0;236;Nordjylland;Nordjylland
1985;102;240;0;N?rke;N?rke
1986;103;0;244;New Caledonia;New Caledonia
1987;104;0;248;Society Islands;Society Islands
1988;105;0;232;Rapa Nui;Rapa Nui
1989;106;0;236;Tonga;Tonga
1990;107;0;240;Tuvalu;Tuvalu
1991;108;0;244;Gilbert Islands;Gilbert Islands
1992;109;0;248;Nauru;Nauru
1993;110;0;232;Marshall Islands;Marshall Islands
1994;111;0;236;Wake;Wake
1995;112;0;240;Micronesia;Micronesia
1996;113;0;244;Palau;Palau
1997;114;0;248;Midway;Midway
1998;115;0;232;Christmas Island;Christmas Island
1999;116;0;236;Cocos Island;Cocos Island
2000;60;221;221;Qinghai Lake;Qinghai Lake
2001;95;200;200;Siling Lake;Siling Lake
2002;200;135;255;Gal??pagos Islands;Gal??pagos Islands
2003;120;2;232;Ktunaxa;Ktunaxa
2004;125;4;236;Niitsitapi;Niitsitapi
2005;130;8;240;Asinaan;Asinaan
2006;135;16;244;Aps??alooke;Aps??alooke
2007;140;32;248;Arikara;Arikara
2008;145;64;232;Yankton;Yankton
2009;150;128;236;Teton;Teton
2010;55;1;80;Connecticut;Connecticut
2011;155;2;120;Shenandoah;Shenandoah
2012;105;3;160;Arsigantegok;Arsigantegok
2013;75;4;40;Kennebec;Kennebec
2014;105;6;160;Natchitoches;Natchitoches
2015;65;7;40;Nipigon;Nipigon
2016;155;8;120;Bungi;Bungi
2017;105;9;160;Nehiyawewin;Nehiyawewin
2018;55;10;40;Tsuutina;Tsuutina
2019;105;11;120;Nimiipu;Nimiipu
2020;155;12;160;Bannock;Bannock
2021;25;13;70;Miwok;Miwok
2022;155;5;120;Haida;Haida
2023;55;14;120;Munsee;Munsee
2024;255;15;160;Ajiraan;Ajiraan
2025;255;16;40;South Georgia;South Georgia
2026;255;17;120;Tanjore;Tanjore
2027;230;18;160;Arcot;Arcot
2028;255;19;90;Mahur;Mahur
2029;255;20;120;South Kanara;South Kanara
2030;255;21;160;Goa;Goa
2031;16;134;155;Morasanadu;Morasanadu
2032;16;245;155;Malenadu;Malenadu
2033;188;164;69;Savanaur;Savanaur
2034;255;120;0;Pune;Pune
2035;81;148;103;Gulbarga;Gulbarga
2036;156;172;45;Baglana;Baglana
2037;205;119;117;Warangal;Warangal
2038;213;157;165;Midnapore;Midnapore
2039;213;242;165;Sunderbans;Sunderbans
2040;84;237;87;Sadiya;Sadiya
2041;64;189;3;Manipur;Manipur
2042;246;92;62;Koch Hajo;Koch Hajo
2043;0;225;69;Balasore;Balasore
2044;181;16;160;Bhagalpur;Bhagalpur
2045;53;124;86;Rangpur;Rangpur
2046;193;131;23;Nasirabad;Nasirabad
2047;85;160;133;Tirhut;Tirhut
2048;198;203;170;Garjat;Garjat
2049;73;18;169;Khurda;Khurda
2050;184;70;8;Chanda;Chanda
2051;215;241;160;Bhavnagar;Bhavnagar
2052;122;234;32;Navanagar;Navanagar
2053;225;142;66;Patan;Patan
2054;156;201;151;Ahmadabad;Ahmadabad
2055;156;201;221;Gorakhpur;Gorakhpur
2056;156;61;221;Rewakantha;Rewakantha
2057;75;190;64;Bhelsa;Bhelsa
2058;231;98;182;Mewar;Mewar
2059;237;96;10;Kalpi;Kalpi
2060;255;192;227;Upper Doab;Upper Doab
2061;255;192;0;Katehar;Katehar
2062;193;76;178;Panipat;Panipat
2063;152;160;243;Etawah;Etawah
2064;202;218;255;Shekhawati;Shekhawati
